Clock frequency is approx. 2400.9 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	6549.9	6017.9	5280.4	4347.8	3595.6	2855.0	2420.6	2010.1	2026.3	1875.7	1920.4	1780.1	1656.6	1580.1	1558.0	1366.9	1582.7	1653.7	1578.0	1672.2	1819.6	1818.3	2050.3	2065.3	2026.0	2119.4	2172.6	2407.4	2251.6	2343.4	2372.0	1273.3	1898.1	2165.3	3160.9	2947.2	3382.5	3166.6	3756.4	2885.4	3038.0	2915.3	3945.7	3291.2	4059.3	3726.0	3544.6	2791.8	2655.7	2610.3	2828.2	3545.5	3507.9	4550.2	4682.5	4274.3	4165.9	4591.2	4289.3	4535.5	5303.5	4660.0	4802.2	1873.8	
16m	6872.7	6670.1	6152.3	5821.3	4766.5	3577.1	3202.3	2739.3	2652.2	2847.3	2949.4	3052.4	3073.1	3161.8	3397.6	2507.8	2774.0	3060.3	3357.3	3460.6	3435.1	3438.3	3462.7	3744.1	4042.9	4143.3	4039.1	4181.0	4475.6	4127.1	4346.4	2583.6	2647.2	2603.3	2832.0	2869.3	3149.4	3084.5	3250.8	3208.6	3234.1	3267.3	3426.4	3683.4	3863.4	3994.7	4012.9	5783.7	4621.6	4928.3	4817.0	4672.5	4631.5	4664.1	4778.9	4995.1	5109.1	4856.1	4819.7	5195.8	4855.2	4666.6	4566.0	3500.8	
8m	5978.0	7160.2	7144.2	7129.0	7066.3	7109.7	6651.5	6102.6	5852.8	5633.7	5421.3	5250.2	5131.0	5008.0	4962.9	4805.4	5103.5	5194.5	5387.2	5529.1	5476.9	5576.1	5684.4	5704.5	5863.9	5875.5	5862.3	6164.8	5904.2	5984.1	5782.0	5924.3	6221.6	5874.2	5955.9	6102.0	6161.1	6067.2	5688.8	6303.3	5620.6	6193.7	5905.7	5908.1	5519.2	5556.0	5452.9	5022.9	5204.9	5961.0	5777.9	5014.8	5215.3	5255.2	4913.4	5476.9	5145.2	4765.8	4716.0	4670.2	4633.6	4777.3	4516.6	4895.2	
4m	9581.2	9581.0	9581.3	9581.0	9579.2	9580.3	9577.5	9549.6	9327.2	9020.4	8729.1	8515.0	8315.2	8170.2	8076.8	7181.2	8165.1	7737.3	7614.6	8189.0	8208.1	7317.5	8213.0	8203.8	8218.6	8220.1	8213.7	8230.0	8222.4	8233.3	8239.0	5779.1	8229.7	6975.5	6981.1	8227.8	8228.5	8233.5	8257.4	6972.6	6974.1	6990.7	7002.0	8246.9	7009.8	8256.6	6957.4	5733.1	6972.7	8284.8	6957.5	6997.8	6947.1	8223.2	6998.0	7007.4	6994.1	7008.3	7022.7	6993.8	7008.2	7042.3	7034.2	5706.4	
2m	9581.1	9581.3	9579.8	9578.9	9578.5	9574.7	9574.8	9525.8	9335.4	8999.3	8766.2	8467.7	8318.3	8166.8	8050.1	7168.8	8171.9	7721.7	8171.6	7485.1	8203.9	7327.1	8193.6	7135.9	7101.7	7063.6	7027.6	7047.5	8235.6	7020.1	7042.9	5784.8	7087.5	6985.3	8361.9	8405.3	8476.5	8493.7	7016.6	6975.3	7022.4	7080.3	7024.2	7080.4	8977.1	7123.4	9148.5	5764.8	7109.3	7206.4	7200.0	7174.5	7251.9	7299.4	9457.4	7481.5	7408.2	7517.3	7546.7	7609.5	7701.2	7759.5	7763.9	5767.0	
1024k	9581.3	9580.9	9578.6	9576.2	9579.7	9580.1	9578.9	9518.3	9301.9	9004.1	8701.6	8470.4	8337.9	8233.7	8090.1	7171.0	7892.2	7805.8	7745.1	7639.0	7632.0	7466.6	7414.9	7397.5	9153.1	7437.9	9405.1	7515.2	7612.3	9244.0	7828.4	5823.4	9512.4	7958.4	8049.4	8097.7	8150.4	8325.1	8529.5	8626.4	8717.2	8822.7	9021.0	9501.2	9150.1	9266.7	9219.4	6148.7	9280.6	9510.7	9391.8	9429.7	9450.8	9407.0	9465.2	9456.2	9482.1	9485.1	9524.4	9501.5	9469.8	9504.8	9496.4	5848.5	
512k	9579.6	9575.1	9580.6	9567.5	9576.8	9566.6	9555.0	9498.2	9378.0	9188.0	8985.0	8945.6	8765.8	8687.2	8787.1	7621.9	8882.5	8805.3	9013.8	8889.5	9076.6	9432.3	9491.7	9470.6	9255.5	9346.0	9491.3	9319.0	9427.4	9437.4	9421.0	6478.4	9422.8	9420.4	9439.2	9455.0	9376.7	9421.4	9420.8	9433.1	9388.6	9383.5	9412.3	9447.5	9354.8	9442.2	9384.1	9233.4	9395.6	9470.9	9492.9	9470.3	9379.9	9445.1	9472.5	9484.2	9397.3	9468.6	9498.9	9433.1	9482.3	9451.7	9460.5	6586.9	
256k	9579.2	9582.1	9563.1	9574.5	9560.7	9556.9	9534.7	9506.2	9496.4	9464.3	9454.1	9392.6	9448.1	9361.7	9420.4	8932.1	9420.4	9404.2	9368.1	9388.1	9389.3	9354.8	9422.6	9358.6	9393.2	9382.2	9331.7	9381.3	9330.2	9315.9	9425.4	8264.0	9375.9	9483.2	9404.0	9459.5	9345.1	9335.7	9381.8	9477.9	9439.8	9435.9	9322.3	9446.7	9449.6	9344.6	9429.6	9432.7	9429.2	9406.3	9363.3	9411.4	9394.8	9428.9	9425.7	9381.3	9437.5	9451.0	9440.1	9416.2	9361.9	9399.2	9371.7	8477.8	
128k	9578.6	9581.5	9576.1	9580.3	9556.3	9567.4	9536.5	9557.0	9542.8	9513.0	9535.7	9528.7	9507.5	9492.2	9510.1	9520.0	9492.9	9469.7	9463.8	9477.9	9483.7	9484.3	9460.9	9207.5	9240.6	9253.1	9249.3	9212.1	9226.0	9217.6	9228.3	9225.3	9256.4	9255.6	9229.0	9218.7	9203.6	9200.9	9188.1	9210.1	9200.7	9202.6	9216.7	9213.9	9199.3	9169.2	9194.8	9128.9	9145.4	9173.2	9154.9	9139.5	9162.8	9308.4	9348.7	9332.5	9323.9	9319.1	9322.5	9297.2	9342.7	9330.1	9317.0	9277.5	
64k	9580.3	9578.0	9563.9	9552.4	9513.0	9528.7	9516.3	9492.5	9459.5	9477.9	9471.7	9473.6	9455.5	9444.3	9416.2	9419.7	9425.2	9417.4	9410.0	9408.4	9387.1	9407.8	9395.9	9363.6	9364.3	9336.9	9338.2	9301.6	9319.1	9297.2	9330.1	9277.5	9308.3	9327.8	9248.0	9297.2	9283.9	9239.3	9209.0	9231.7	9222.8	9180.0	9239.9	9166.6	9151.2	9190.6	9144.5	9154.4	9119.4	9196.5	9127.8	9167.2	9102.9	9158.3	9165.1	9120.4	9134.7	9096.1	9126.8	9103.5	9079.6	9063.5	9047.0	8972.8	
